Country Macro,Country,Datos Region,Year,SCALE,Employed persons,Population,FiscalBalance_pctGDP,Debt_pctGDP,Savings_pctGDP,GDP_real_growth,CapitalFormation_pctGDP,Market Shipments
Austria,Austria,WE,2029,Units,4481000.0,9266500.0,-3.583,83.861,27.493,0.991,24.884,620.0
Austria,Austria,WE,2029,Millions,4481000.0,9279000.0,-3.5855,84.071,27.533,0.8625,24.9135,20.0
Austria,Austria,WE,2029,Millions,4481000.0,9279000.0,-3.5855,84.071,27.533,0.8625,24.9135,620.0
Austria,Austria,WE,2030,Units,4481000.0,9292000.0,-3.588,84.281,27.573,0.734,24.943,15.0
Austria,Austria,WE,2030,Units,4481000.0,9292000.0,-3.588,84.281,27.573,0.734,24.943,605.0
Austria,Austria,WE,2030,Millions,4481000.0,9305000.0,-3.588,84.281,27.573,0.734,24.943,15.0
Austria,Austria,WE,2030,Millions,4481000.0,9305000.0,-3.588,84.281,27.573,0.734,24.943,605.0
"Azerbaijan, Republic of",Azerbaijan,CEE,2022,Units,,10063000.0,5.963,17.324,38.152,4.715,12.004,
"Azerbaijan, Republic of",Azerbaijan,CEE,2022,Millions,,10063000.0,6.942,19.5655,32.9675,3.0345,14.8735,
"Azerbaijan, Republic of",Azerbaijan,CEE,2023,Units,,10095000.0,7.921,21.807,27.783,1.354,17.743,
"Azerbaijan, Republic of",Azerbaijan,CEE,2023,Millions,,10127000.0,5.989000000000001,21.7395,25.0075,2.7125,17.27,
"Azerbaijan, Republic of",Azerbaijan,CEE,2024,Units,,10188000.0,4.057,21.672,22.232,4.071,16.797,
"Azerbaijan, Republic of",Azerbaijan,CEE,2024,Millions,,10249000.0,1.0730000000000004,22.0295,20.951999999999998,3.543,16.518,
"Azerbaijan, Republic of",Azerbaijan,CEE,2025,Units,,10310500.0,-1.911,22.387,19.672,3.015,16.239,166.0
"Azerbaijan, Republic of",Azerbaijan,CEE,2025,Units,,10310500.0,-1.911,22.387,19.672,3.015,16.239,314.0
"Azerbaijan, Republic of",Azerbaijan,CEE,2025,Millions,,10372000.0,-1.9535,22.9465,18.1185,2.755,15.675,166.0
"Azerbaijan, Republic of",Azerbaijan,CEE,2025,Millions,,10372000.0,-1.9535,22.9465,18.1185,2.755,15.675,314.0
"Azerbaijan, Republic of",Azerbaijan,CEE,2026,Units,,10434000.0,-1.996,23.506,16.565,2.495,15.111,165.0
